Date,Stock,Sector,Country,Employess,Float,Io,Short_ratio,Prev_close,premarket_high,premarket_time_high,premarket_vol_high,premarket_vol_cum_high,premarket_low,premarket_time_low,premarket_volume,Open_price,firsthour_high,firsthour_high_time,firsthour_vol_high,firsthour_vol_cum_high,firsthour_low,firsthour_low_time,firsthour_vol_low,firsthour_vol_cum_low,firsthour_volume,morning_high,morning_high_time,morning_vol_high,morning_vol_cum_high,morning_low,morning_low_time,morning_vol_low,morning_vol_cum_low,morning_volume,middle_high,middle_high_time,middle_vol_high,middle_vol_cum_high,middle_low,middle_low_time,middle_vol_low,middle_vol_cum_low,middle_volume,afternoon_high,afternoon_high_time,afternoon_vol_high,afternoon_vol_cum_high,afternoon_low,afternoon_low_time,afternoon_vol_low,afternoon_vol_cum_low,afternoon_volume,market_high,market_high_time,market_vol_high,market_vol_cum_high,market_low,market_low_time,market_vol_low,market_vol_cum_low,market_volume,close_price,afterhour_high,afterhour_high_time,afterhour_vol_high,afterhour_vol_cum_high,afterhour_low,afterhour_low_time,afterhour_vol_low,afterhour_vol_cum_low,afterhour_volume
2022-03-31,SNTG,Financial Services,China,28,3.76,0.62,0.23,0.9899,1.52,04:34:00,0.060305,0.29,-31.58,09:23:00,2.08,1.07,1.07,09:30:00,0.001823,2.08,0.99,09:52:00,0.057026,2.39,0.44,1.07,09:30:00,0.001823,2.08,0.99,09:52:00,0.057026,2.39,0.54,1.05,13:41:00,0.017386,2.72,1.01,12:26:00,0.0027,2.63,0.15,1.14,15:58:00,0.062115,3.09,1.01,14:51:00,0.010343,2.83,0.35,1.14,15:58:00,0.062115,3.09,0.99,09:52:00,0.057026,2.39,1.03,1.1,1.12,16:01:00,0.000932,3.12,1.02,16:10:00,0.00037,3.12,0.02
2022-03-31,SGLY,Industrials,United States,42,19.41,2.7,7.68,13.07,18.17,04:46:00,0.0369,0.32,-25.7,09:28:00,0.79,13.49,13.75,09:32:00,0.013277,0.84,12.72,10:04:00,0.0036,1.01,0.25,13.85,11:08:00,0.022424,1.22,12.72,10:04:00,0.0036,1.01,0.61,13.84,12:55:00,0.000738,1.48,13.45,12:14:00,0.000721,1.41,0.13,14.09,15:41:00,0.00478,1.67,13.36,14:21:00,0.00011,1.53,0.22,14.09,15:41:00,0.00478,1.67,12.72,10:04:00,0.0036,1.01,0.95,14.02,14.18,19:02:00,0.00076,1.74,13.82,16:55:00,0.001,1.74,0.01
2022-03-31,ISPO,Consumer Cyclical,United States,nan,0.41,94.8,nan,8.48,11.88,08:16:00,0.116821,2.13,-13.13,09:15:00,3.6,10.35,10.8,09:54:00,0.308946,7.08,9.6,09:39:00,0.118388,5.22,5.47,10.8,09:54:00,0.308946,7.08,9.13,11:31:00,0.070191,12.06,9.2,9.89,12:31:00,0.041032,13.22,9.35,13:00:00,0.015941,13.63,1.2,10.05,15:57:00,0.127495,15.86,9.25,14:49:00,0.054496,14.51,2.13,10.8,09:54:00,0.308946,7.08,9.13,11:31:00,0.070191,12.06,12.51,9.92,10.14,16:01:00,0.013581,16.1,9.4,17:00:00,0.001881,16.25,0.38
2022-03-31,LGVN,Healthcare,United States,18,4.56,8.62,5.59,6.71,9.83,08:44:00,0.148303,5.67,-10.38,09:03:00,9.24,9.39,10.13,09:36:00,1.502351,16.92,8.84,09:48:00,0.60987,22.08,26.16,12.06,11:56:00,1.048282,61.46,8.84,09:48:00,0.60987,22.08,54.69,11.97,12:10:00,0.694011,67.97,10.46,13:32:00,0.331443,84.51,25.42,14.24,15:41:00,0.55811,127.73,10.66,14:10:00,0.182838,89.65,43.82,14.24,15:41:00,0.55811,127.73,8.84,09:48:00,0.60987,22.08,123.41,13.73,14.74,16:10:00,0.119455,133.85,12.35,16:36:00,0.054376,135.68,4.99
2022-03-31,CLVS,Healthcare,United States,413,140.26,37.97,15.32,1.65,2.66,06:50:00,0.176277,2.1,-15.41,07:01:00,19.0,2.33,2.88,09:58:00,2.479153,65.73,2.22,09:32:00,1.531284,22.51,78.4,2.88,09:58:00,2.479153,65.73,2.22,09:32:00,1.531284,22.51,119.17,2.74,12:31:00,1.494534,148.51,2.47,13:08:00,0.558343,162.14,30.86,2.54,14:00:00,0.17482,168.46,2.02,16:00:00,0.951458,209.16,40.87,2.88,09:58:00,2.479153,65.73,2.02,16:00:00,0.951458,209.16,190.26,2.03,2.07,16:05:00,0.077596,209.41,1.91,16:34:00,0.135952,210.14,3.01
2022-04-01,HUSN,Technology,United States,79,12.6,13.58,5.66,1.93,2.97,07:38:00,0.169296,1.07,-20.2,08:12:00,4.87,2.54,3.19,10:27:00,1.886684,17.39,2.34,09:55:00,0.159736,7.86,15.35,3.19,10:27:00,1.886684,17.39,2.34,09:55:00,0.159736,7.86,33.01,2.66,13:18:00,0.139652,42.63,2.38,12:26:00,0.104135,38.87,6.85,2.66,15:36:00,0.121734,47.53,2.41,14:06:00,0.133358,44.88,4.45,3.19,10:27:00,1.886684,17.39,2.34,09:55:00,0.159736,7.86,44.2,2.63,2.65,16:00:00,0.118007,49.06,2.48,16:31:00,0.004234,49.17,0.32
2022-04-01,SGBX,Industrials,United States,50,8.57,20.28,4.52,1.96,2.51,08:39:00,0.147548,0.62,-11.95,08:52:00,1.79,2.28,2.65,09:52:00,0.645966,8.59,2.14,10:25:00,0.22946,16.3,14.79,2.65,09:52:00,0.645966,8.59,2.09,11:13:00,0.051123,17.81,17.12,2.25,13:40:00,0.028737,19.8,2.15,12:35:00,0.002416,19.16,1.04,2.28,14:48:00,0.047311,20.22,2.16,14:04:00,0.010453,19.94,1.16,2.65,09:52:00,0.645966,8.59,2.09,11:13:00,0.051123,17.81,19.3,2.18,2.19,16:00:00,0.08331,21.08,2.11,16:23:00,0.0005,21.09,0.13
2022-04-01,GREE,Financial Services,United States,36,11.27,51.62,3.14,8.56,8.75,08:44:00,0.0012,0.0,-0.57,08:59:00,0.01,8.59,8.69,09:36:00,0.0008,0.03,8.35,09:35:00,0.009374,0.03,0.08,9.57,11:54:00,0.012157,0.28,8.35,09:35:00,0.009374,0.03,0.34,12.33,13:32:00,0.411432,5.98,9.38,12:06:00,0.014661,0.37,9.74,12.68,15:23:00,0.306021,17.89,10.88,14:01:00,0.136562,10.21,10.6,12.68,15:23:00,0.306021,17.89,8.35,09:35:00,0.009374,0.03,20.58,11.55,11.9,16:24:00,0.017134,20.68,11.1,16:07:00,0.013623,20.61,0.46
2022-04-04,SPI,Technology,United States,78,15.37,9.23,8.76,2.82,4.17,04:02:00,0.096826,0.19,-15.59,05:50:00,3.85,3.67,3.69,09:31:00,0.263506,4.11,3.28,09:51:00,0.125963,6.95,5.06,3.69,09:31:00,0.263506,4.11,3.28,09:51:00,0.125963,6.95,6.3,3.36,12:01:00,0.01702,10.15,3.18,12:59:00,0.028723,11.08,1.64,3.3,14:20:00,0.01189,11.91,3.12,15:35:00,0.049099,12.57,1.33,3.69,09:31:00,0.263506,4.11,3.12,15:35:00,0.049099,12.57,9.25,3.16,3.38,16:22:00,0.024939,13.17,3.08,17:59:00,0.012861,13.34,0.33
2022-04-04,RCAT,Technology,United States,14,30.45,10.94,3.64,1.96,2.67,07:06:00,0.14546,0.46,-23.22,08:15:00,4.85,2.35,2.58,10:02:00,1.319085,20.34,2.25,09:32:00,0.300457,5.41,19.95,2.58,10:02:00,1.319085,20.34,2.19,10:56:00,0.284151,26.79,23.47,2.35,12:43:00,0.049893,29.49,2.24,13:28:00,0.074125,30.16,2.34,2.48,15:37:00,0.220718,32.64,2.27,14:00:00,0.011118,30.62,3.01,2.58,10:02:00,1.319085,20.34,2.19,10:56:00,0.284151,26.79,28.78,2.34,2.36,16:00:00,0.14675,33.62,2.16,19:58:00,0.002495,33.8,0.33
2022-04-04,PLX,Healthcare,United States,207,36.97,8.79,8.94,1.0499,1.63,08:18:00,0.396465,9.62,-30.06,08:24:00,16.27,1.51,1.85,09:59:00,1.28445,55.22,1.51,09:31:00,1.450575,17.72,59.76,2.0,11:28:00,1.569502,116.83,1.51,09:31:00,1.450575,17.72,115.83,1.97,12:00:00,0.379198,132.0,1.72,13:28:00,0.296688,155.18,30.69,1.87,14:06:00,0.510942,163.72,1.47,15:57:00,0.168925,188.19,26.89,2.0,11:28:00,1.569502,116.83,1.47,15:57:00,0.168925,188.19,172.83,1.49,1.51,16:01:00,0.015188,189.01,1.38,16:31:00,0.084634,189.99,2.69
2022-04-04,ACER,Healthcare,United States,35,8.9,27.07,0.48,2.92,4.0,08:43:00,0.257359,1.76,-11.25,09:21:00,5.76,3.64,3.77,09:37:00,0.536361,9.04,3.05,10:25:00,0.085662,16.23,10.64,3.77,09:37:00,0.536361,9.04,2.93,11:19:00,0.081779,18.07,13.1,3.1,12:00:00,0.016674,18.83,2.96,12:27:00,0.049266,19.11,0.78,3.1,15:26:00,0.045493,20.12,3.0,14:48:00,0.016851,19.9,0.93,3.77,09:37:00,0.536361,9.04,2.93,11:19:00,0.081779,18.07,14.79,3.04,3.05,16:00:00,0.032266,20.52,2.9,17:31:00,0.0016,20.61,0.2
2022-04-04,PGEN,Healthcare,United States,456,98.72,68.6,20.2,2.27,2.79,08:16:00,0.093929,0.44,-13.26,08:57:00,1.24,2.46,2.47,09:30:00,0.00174,1.24,2.26,10:06:00,0.057984,2.42,1.43,2.54,11:44:00,0.028138,3.49,2.26,10:06:00,0.057984,2.42,2.47,2.58,13:24:00,0.043265,4.22,2.46,12:25:00,0.021457,3.88,0.72,2.59,14:30:00,0.038911,4.59,2.51,15:18:00,0.031522,5.05,1.18,2.59,14:30:00,0.038911,4.59,2.26,10:06:00,0.057984,2.42,4.35,2.54,2.59,16:34:00,0.000835,5.61,2.45,16:04:00,0.0013,5.6,0.09
2022-04-04,ATER,Consumer Cyclical,United States,156,26.27,25.52,16.29,2.34,2.68,04:11:00,0.000963,0.01,-7.09,04:38:00,0.26,2.52,3.71,10:15:00,1.683537,23.8,2.45,09:32:00,0.068882,0.42,36.2,3.85,11:54:00,1.388488,74.52,2.45,09:32:00,0.068882,0.42,78.58,3.93,12:46:00,1.113356,96.13,3.56,12:20:00,0.283229,86.41,37.29,3.85,14:03:00,0.303962,116.48,3.3,15:50:00,0.609355,141.63,28.29,3.93,12:46:00,1.113356,96.13,2.45,09:32:00,0.068882,0.42,143.51,3.42,3.75,19:18:00,0.018179,145.11,3.35,16:03:00,0.030386,143.86,2.05
2022-04-05,SBFM,Healthcare,Canada,3,6.57,0.02,2.25,2.26,6.49,09:26:00,0.948638,35.99,-6.16,09:26:00,37.52,6.22,6.8,09:38:00,2.54719,51.72,5.11,10:17:00,1.23196,78.14,43.9,6.8,09:38:00,2.54719,51.72,4.86,10:41:00,0.528485,83.53,61.18,5.7,12:51:00,0.468366,108.73,5.03,13:31:00,0.691814,115.69,20.01,6.48,15:26:00,0.738151,145.76,5.12,14:01:00,0.179036,118.41,35.11,6.8,09:38:00,2.54719,51.72,4.86,10:41:00,0.528485,83.53,115.96,5.61,5.81,16:03:00,0.050066,153.41,5.23,19:33:00,0.014466,154.94,2.15
2022-04-05,RCON,Energy,China,184,17.44,16.66,2.73,1.06,1.4,08:01:00,1.146917,3.69,-11.43,08:01:00,5.57,1.36,1.44,09:45:00,0.732695,11.58,1.26,10:16:00,0.243309,19.13,15.61,1.44,09:45:00,0.732695,11.58,1.2,12:00:00,0.127347,27.44,21.97,1.22,12:00:00,0.127347,27.44,1.17,12:47:00,0.066385,28.79,3.02,1.21,14:00:00,0.047679,30.33,1.14,15:04:00,0.139214,31.44,2.77,1.44,09:45:00,0.732695,11.58,1.14,15:04:00,0.139214,31.44,27.59,1.19,1.21,16:02:00,0.018543,33.08,1.14,17:57:00,0.008631,33.17,0.25
2022-04-05,ATER,Consumer Cyclical,United States,156,26.27,25.52,16.29,3.4207,4.13,04:37:00,0.062526,0.75,-14.04,05:29:00,8.59,3.82,4.23,09:36:00,2.494483,17.06,3.71,10:06:00,0.557752,39.27,37.38,4.23,09:36:00,2.494483,17.06,3.56,10:43:00,0.373997,50.3,51.83,3.95,12:32:00,0.018384,62.78,3.35,14:00:00,0.158693,68.64,8.32,3.67,15:59:00,0.30174,77.09,3.35,14:00:00,0.158693,68.64,8.87,4.23,09:36:00,2.494483,17.06,3.35,14:00:00,0.158693,68.64,68.79,3.66,3.78,19:19:00,0.024384,78.01,3.5,19:44:00,0.010416,78.12,1.09
2022-04-06,CTXR,Healthcare,United States,15,133.72,18.79,6.97,1.84,2.32,07:03:00,0.120586,0.48,-14.66,08:49:00,5.81,2.0,2.01,09:31:00,0.355002,6.17,1.75,10:14:00,0.045774,9.27,3.86,2.01,09:31:00,0.355002,6.17,1.74,11:44:00,0.088582,10.7,5.0,1.77,12:00:00,0.000239,10.81,1.67,12:31:00,0.098967,11.44,1.66,1.77,14:58:00,0.002014,12.92,1.7,14:23:00,0.00893,12.68,0.99,2.01,09:31:00,0.355002,6.17,1.67,12:31:00,0.098967,11.44,7.65,1.71,1.72,16:00:00,0.036652,13.46,1.66,18:24:00,0.002691,13.51,0.1
2022-04-06,IVDA,Industrials,United States,nan,7.19,0.05,nan,3.06,4.53,04:03:00,0.071488,0.21,-22.52,09:20:00,2.74,3.71,3.82,09:35:00,0.269894,3.3,2.95,10:14:00,0.11628,5.3,2.72,3.82,09:35:00,0.269894,3.3,2.77,11:34:00,0.013893,5.92,3.32,3.29,13:57:00,0.034084,6.32,2.83,12:00:00,0.002683,6.05,0.3,3.29,14:02:00,0.01059,6.36,2.98,16:00:00,0.012816,6.66,0.31,3.82,09:35:00,0.269894,3.3,2.77,11:34:00,0.013893,5.92,3.92,3.02,3.04,16:00:00,0.012816,6.66,2.65,19:17:00,0.005576,6.69,0.06
